Scheme Name,Scheme Link,Department
Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA),https://www.india.gov.in/spotlight/pradhan-mantri-uchchatar-shiksha-abhiyan-pm-usha,General
Electronics Component Manufacturing Scheme,https://www.india.gov.in/spotlight/electronics-component-manufacturing-scheme,General
Prime Minister's Young Authors Mentorship Scheme (YUVA 3.0) Scheme,https://www.india.gov.in/spotlight/prime-ministers-young-authors-mentorship-scheme-yuva-30-scheme,General
One Nation One Subscription,https://www.india.gov.in/spotlight/one-nation-one-subscription,General
Union Budget 2025-2026,https://www.india.gov.in/spotlight/union-budget-2025-2026,General
Automated Permanent Academic Account Registry (APAAR),https://www.india.gov.in/spotlight/automated-permanent-academic-account-registry-apaar,General
Namo Drone Didi,https://www.india.gov.in/spotlight/namo-drone-didi,General
PM Electric Drive Revolution in Innovative Vehicle Enhancement (PM E-DRIVE),https://www.india.gov.in/spotlight/pm-electric-drive-revolution-innovative-vehicle-enhancement-pm-e-drive,General
Ayushman Bharat Pradhan Mantri Jan Arogya Yojana,https://www.india.gov.in/spotlight/ayushman-bharat-pradhan-mantri-jan-arogya-yojana,General
PM Surya Ghar - Muft Bijli Yojana,https://www.india.gov.in/spotlight/pm-surya-ghar-muft-bijli-yojana,General
